"ID";"Counts";"Category"
"P:GO:0006954";18;"Biological Process"
"P:GO:0001501";18;"Biological Process"
"F:GO:0030414";18;"Molecular Function"
"F:GO:0008134";18;"Molecular Function"
"F:GO:0004386";18;"Molecular Function"
"C:GO:0043005";18;"Cellular Component"
"P:GO:0043065";17;"Biological Process"
"P:GO:0042254";17;"Biological Process"
"P:GO:0030335";17;"Biological Process"
"P:GO:0016032";17;"Biological Process"
"P:GO:0006898";17;"Biological Process"
"P:GO:0006886";17;"Biological Process"
"P:GO:0006334";17;"Biological Process"
"F:GO:0016829";17;"Molecular Function"
"F:GO:0016798";17;"Molecular Function"
"F:GO:0008017";17;"Molecular Function"
"C:GO:0044297";17;"Cellular Component"
"C:GO:0005929";17;"Cellular Component"
"C:GO:0005911";17;"Cellular Component"
"C:GO:0001726";17;"Cellular Component"
"P:GO:0090263";16;"Biological Process"
"P:GO:0070527";16;"Biological Process"
"P:GO:0055085";16;"Biological Process"
"P:GO:0051301";16;"Biological Process"
"P:GO:0045892";16;"Biological Process"
"P:GO:0043488";16;"Biological Process"
"P:GO:0021762";16;"Biological Process"
"P:GO:0006928";16;"Biological Process"
"P:GO:0006914";16;"Biological Process"
"F:GO:0032403";16;"Molecular Function"
"F:GO:0016874";16;"Molecular Function"
"F:GO:0008168";16;"Molecular Function"
"F:GO:0001948";16;"Molecular Function"
"C:GO:0042383";16;"Cellular Component"
"C:GO:0030425";16;"Cellular Component"
"C:GO:0005913";16;"Cellular Component"
"C:GO:0005884";16;"Cellular Component"
"C:GO:0005788";16;"Cellular Component"
"P:GO:0071230";15;"Biological Process"
"P:GO:0043547";15;"Biological Process"
"P:GO:0033209";15;"Biological Process"
"P:GO:0007601";15;"Biological Process"
"P:GO:0007275";15;"Biological Process"
"P:GO:0006413";15;"Biological Process"
"P:GO:0006357";15;"Biological Process"
"P:GO:0001934";15;"Biological Process"
"P:GO:0000086";15;"Biological Process"
"F:GO:0004518";15;"Molecular Function"
"C:GO:0043025";15;"Cellular Component"
"C:GO:0030175";15;"Cellular Component"
"C:GO:0015630";15;"Cellular Component"
"C:GO:0005635";15;"Cellular Component"
"P:GO:0090090";14;"Biological Process"
"P:GO:0070374";14;"Biological Process"
"P:GO:0048646";14;"Biological Process"
"P:GO:0043161";14;"Biological Process"
"P:GO:0030855";14;"Biological Process"
"P:GO:0008360";14;"Biological Process"
